,fold_0_train,fold_0_val,fold_0_test,fold_1_train,fold_1_val,fold_1_test,fold_2_train,fold_2_val,fold_2_test,fold_3_train,fold_3_val,fold_3_test,fold_4_train,fold_4_val,fold_4_test
0,7.8.79.868259.87.1.4.5.962391565991725.8310177705452.7,3.4.840.470968.3.161.5.2645400847.6227828551.927567,8.2.32.105755.29.0.3.6.123459715138731.0619470130498.7,5.5.39.306660.89.2.3.3.722659581639987.5931147689672.9,5.2.96.604066.68.0.0.5.41415970103.1772997558941.7,8.9.64.682736.03.7.9.9.91137230155.2175675731982.4,4.6.60.649473.25.6.5.0.87291861863.7447854419996.7,0.6.86.867015.90.3.8.7.78877770585.9028170998426.7,0.5.99.871615.09.0.2.6.24127406891.2560356649266.1,5.9.340.350543.0.577.3.5731153419.2239013784.597094,0.2.347.405372.0.174.6.0801717425.8985673853.666684.9,5.6.40.849093.15.0.3.7.032100251281284.0946265080135.0,5.8.73.112572.79.7.0.9.655361460938109.0154157831486.7,0.3.13.422374.82.2.9.4.159774741513985.5552886812746.5,2.4.45.496456.33.8.4.6.991552431060992.2779458846390.9
1,8.6.52.656849.54.9.1.1.91662446507.0713551068930.5,1.9.45.745978.59.3.3.6.413564050177857.1970060378993.3,6.6.29.064857.50.0.2.1.29337354753.8610398044438.3,4.3.45.228429.07.0.5.5.25354109285.7826778882228.2,5.7.141.670130.7.532.8.9364315031.0280914295.983659,4.8.713.475723.8.734.5.9981274469.0431590372.426461,3.8.772.180152.8.339.5.7602536684.5718335596.827876,3.3.19.667069.64.1.2.9.514518515162371.2769340543396.8,7.9.23.796720.18.3.8.9.64365726472.8323297945236.0,0.6.73.840869.30.1.5.0.450125191445618.7366673674717.5,2.8.66.001075.99.0.9.6.216059176323848.4921377870583.5,7.0.08.423080.39.7.4.9.12555156622.3985456853440.4,8.2.679.312941.0.465.2.7423678037.8321208804.059555,9.8.79.781360.67.6.3.0.05153358423.9368731956999.4,5.6.53.820142.18.0.5.5.954752425427439.1531949269418.3
2,7.7.85.748627.87.2.5.0.011810029131070.2698460835963.6,5.5.487.559569.5.977.8.5103958129.8201515406.429306,0.1.947.136223.0.813.7.1953859116.5198512539.702990,6.9.89.291328.79.7.9.7.645355015437717.0308483978902.0,5.5.02.757099.96.5.8.6.33345568424348.1050741785876.4,9.2.47.451720.73.6.7.5.23200856487.1592098798693.5,3.8.69.371002.67.9.0.1.81128635481.5303250371333.9,6.2.857.051952.5.808.4.3525546595.5053948980.438689,3.9.302.885427.5.219.4.7553419129.3613318072.871896,1.8.19.767274.93.1.9.9.442194708334694.1219495464600.7,2.0.18.866664.83.0.0.8.28571235217.0522234379599.4,1.9.06.903990.00.1.9.1.369357182296010.3343992629455.2,1.4.237.213718.7.092.3.8169018970.2729378173.829633,2.8.54.652274.72.9.8.5.18800243182.1452386432567.7,2.9.25.326599.90.2.2.9.41784619840.4462477393623.6
3,0.2.95.152930.47.5.0.7.808410536971443.5355466322942.6,3.2.862.732618.7.534.0.3176131274.9727554774.909318,4.6.427.864804.6.823.2.3274287132.4873769361.971716,7.5.21.847276.02.6.0.3.539238812733123.3231694698023.4,0.1.550.879280.3.209.3.6125340603.5141691039.126098,1.3.28.573756.22.4.4.8.79729187804.7955434921015.9,2.1.24.412532.29.6.3.3.291829669258273.6264671804131.6,8.7.98.231000.99.4.3.0.240059531672620.6348489043786.5,0.7.90.583445.02.8.7.1.75945563151.9071704760889.9,6.3.49.349307.79.4.5.9.050657454706419.3578710059713.6,0.6.776.162986.9.365.4.9322017660.7169360845.779255,4.1.56.999761.40.5.2.0.80094424258.3341422001658.1,0.1.28.174136.78.0.0.6.72639474396.8548583145273.0,7.6.50.274624.07.5.4.3.27580767359.2211267200180.3,0.2.77.640956.67.0.5.7.865404626683033.0447506397915.2
4,2.1.71.661613.26.0.5.5.461265642607461.8112428481473.2,0.0.00.888409.47.1.5.3.23142163667.2406561296865.7,3.3.57.749320.54.9.5.8.91705513090.4385951670084.9,7.3.925.041041.2.603.3.1516765546.1405151855.336690,1.7.744.333204.9125745274.83277369201751595758.3076763514016,7.3.19.694224.82.7.7.8.890652849878816.7570332729808.4,7.7.48.328974.23.8.2.2.421336617449868.2848010133601.2,5.3.18.769117.07.6.7.8.11347754241.2835561442707.8,1.4.97.619565.70.5.8.9.04451546483.6507721179134.2,5.7.15.716239.85.9.1.6.007543858374527.2549826507651.6,2.7.12.056526.85.9.3.6.62271794352.9716585775101.5,8.2.39.952382.10.8.3.6.69345006068.4669569516390.4,0.2.53.919305.23.0.1.1.86894914770.0591494962737.5,8.5.45.908285.93.5.1.0.33812436393.5366843574878.7,3.6.83.767368.90.6.9.5.76465467077.7596422884434.6
5,9.7.72.119617.94.7.9.3.63195452372.7167440931664.3,7.3.424.539820.9.569.9.0100368322.7156151869.200694,0.4.04.408174.05.8.3.4.94644653383.0064918009989.7,4.4.11.781405.05.8.1.8.80045391129297.1442869485746.9,4.7.037.537819.5.295.2.9893373407.2025018641.576939,5.3.78.833382.10.1.7.1.48223988449.6105593844213.8,8.3.005.625723.0.583.3.8016388687.5049598546.858721,9.3.83.516709.90.3.9.3.87166975239.0255079381887.2,3.1.49.851465.79.5.4.2.07243288429.6281500530098.4,8.4.52.614462.11.1.4.7.61175820556.0255012885902.2,1.6.71.678207.54.0.0.6.158417430957680.7713356103087.5,7.3.479.662253.6.242.8.2259975728.1192645828.268198,9.6.62.667740.36.1.8.1.86599723977.3884249001705.1,9.8.56.301441.91.8.6.6.550196975171957.0650474245020.5,0.2.235.550599.6.787.1.1051584382.7429154811.228334
6,3.7.09.724394.02.0.4.6.847796139959510.5489947299606.2,1.4.597.922364.8.668.6.6667355923.9464288004.444745,7.4.778.741923.9.587.4.3362788380.3704861442.212987.8,1.1.095.379899.5.838.8.9442246528.8983351569.567337,9.4.87.339126.86.5.3.8.82296773874.9197666662457.6,0.7.16.557453.05.2.3.1.701011832260550.3706872108780.2,7.5.45.410224.00.8.4.4.06170314711.0135284337720.7,2.3.27.617339.58.4.3.0.179727158208339.7269299613487.7,5.1.66.396128.30.5.7.1.98075792316.4398437313278.5,0.1.536.774441.1.999.0.9052742025.0400714529.539945,7.0.23.904260.66.8.1.6.50238735275.1710270295000.0,9.1.72.873256.58.3.9.5.80287404287.7992840248041.3,1.6.80.351247.93.7.5.6.58601997422.5207982104770.7,8.5.000.888010.1.996.1.7106672707.3086321112.602990,6.4.70.020435.92.0.7.1.038887799070169.7385394977246.5
7,5.5.170.884374.4.882.7.0964241053.6526324594.669325,1.5.14.873764.77.5.0.5.755333753907705.3301377994270.5,3.2.616.168676.9.422.2.3290052113.3880149182.747648,0.2.20.586533.47.6.2.2.98987423314.1267149990655.6,6.8.36.478879.26.8.1.7.82942866328.1693319273755.2,8.8.27.692876.70.5.5.1.55136637326.4330175285859.7,0.5.352.079934.6.841.3.2380529877.6492231524.888335,5.4.459.274465.0.099.8.4420608265.4427025663.367933,2.4.54.138798.75.493592776792.5330.7935232132394,2.1.803.071053.2.531.8.6304030147.6714915766.848959,1.8.42.664414.31.3.4.1.577551705994025.2414022993980.8,6.4.69.628576.38.3.3.9.657847034442676.4632240321753.2,0.7.76.508789.71.3.1.4.667538155079705.4221465000592.5,5.4.58.683631.31.9.6.3.20081342714.5350580704002.3,5.4.53.644965.25.4.1.8.93991367081.3993134118992.9
8,5.4.25.579567.27.8.5.6.97208536830.8203485438965.6,1.3.270.734148.3.766.5.6984957290.6953065861.306084,8.1.38.142723.01.9.4.3.271895624754111.6417939811366.0,0.9.68.597898.17.7.5.9.56125833755.8538772977339.8,7.6.53.762243.99.6.5.7.92999011965.4662792766254.6,2.9.13.891973.22.0.4.8.99991641932.4754598056467.0,6.9.05.424847.41.9.9.9.83857325519432.2632208621253.8,4.8.54.227247.67.1.5.7.58492092438.3865988227353.0,7.9.36.776351.07.1.0.3.66013011891.5330704418456.5,6.6.497.983777.2.553.6.2358007657.2923654231.863932,7.1.63.870377.29.3.3.0.24981799222.6641307604532.9,6.8.73.635096.94.8.5.5.608537078529030.9002962808717.8,5.8.65.674868.42.7.8.0.53731193554.8157437884395.1,0.5.17.834384.82.4.5.7.971677753129747.1489489797963.4,5.8.88.763943.51.6.5.3.09384876037.2996042880834.1
9,4.7.19.729203.40.6.2.9.37536644478.5366658786470.8,9.1.07.730970.65.5.9.9.71325319603.5155906081708.1,0.8.72.837396.47.1.2.2.77616957285.5611126813344.9,4.8.88.649107.54.9.6.6.04177434868.7469344868794.5,1.6.041.085127.4.515.2.1867552849.7968700462.524715,3.8.71.066787.97.6.9.5.69030783155.8698336714228.0,7.0.19.688961.75.7.5.7.00531096284.8595974085512.5,4.2.177.005684.3.746.5.6304615569.7064531987.563044,7.2.73.886808.34.6.7.8.606107214649159.9208314602713.8,3.7.393.674770.2.611.3.0164388504.4059160241.697612,5.6.055.024934.1.519.6.0385124067.7115662091.794801,2.5.43.372661.81.3.7.8.357591344017330.1620035612519.6,1.5.61.650424.72.8.4.8.65341686279.5945308038254.6,7.9.69.623335.11.1.6.6.72565931096.5331114346950.4,5.5.36.536185.09.7.2.2.75970797554.8548386950827.6
