,train,val,test
0,covid_1.png,sub-S09420_ses-E16988_run-1_bp-chest_vp-ap_dx.png,sub-S09376_ses-E21514_run-1_bp-chest_cr.png
1,covid_100.png,sub-S09934_ses-E17062_run-1_bp-chest_vp-ap_dx.png,sub-S09495_ses-E17458_acq-2_run-1_bp-chest_vp-ap_dx.png
2,covid_1000.png,sub-S09376_ses-E21843_run-1_bp-chest_cr.png,sub-S09426_ses-E16596_run-1_bp-chest_vp-ap_dx.png
3,covid_1001.png,sub-S09361_ses-E16787_run-1_bp-chest_vp-ap_dx.png,sub-S09361_ses-E20256_run-1_bp-chest_vp-ap_dx.png
4,covid_1002.png,sub-S09345_ses-E16570_run-1_bp-chest_vp-ap_dx.png,sub-S09375_ses-E20663_run-1_bp-chest_vp-ap_cr.png
5,covid_1007.png,sub-S09492_ses-E23563_run-1_bp-chest_vp-pa_cr.png,sub-S09319_ses-E26763_run-1_bp-chest_vp-ap_dx.png
6,covid_1008.png,sub-S09505_ses-E17698_run-1_bp-chest_cr.png,sub-S10005_ses-E19504_run-1_bp-chest_vp-ap_dx.png
7,covid_1009.png,sub-S09692_ses-E18439_run-1_bp-chest_cr.png,sub-S09336_ses-E26268_run-1_bp-chest_vp-pa_cr.png
8,covid_101.png,sub-S09919_ses-E19455_run-1_bp-chest_vp-ap_cr.png,sub-S09603_ses-E18961_run-1_bp-chest_vp-pa_dx.png
9,covid_1010.png,sub-S09766_ses-E17297_run-1_bp-chest_vp-ap_dx.png,sub-S09689_ses-E23102_run-1_bp-chest_vp-ap_dx.png
10,covid_1011.png,sub-S09555_ses-E18291_run-1_bp-chest_cr.png,sub-S09692_ses-E20201_run-1_bp-chest_cr.png
11,covid_1014.png,sub-S09549_ses-E22083_run-1_bp-chest_vp-ap_dx.png,sub-S09767_ses-E25909_run-1_bp-chest_vp-ap_dx.png
12,covid_1015.png,sub-S09778_ses-E22719_run-1_bp-chest_vp-ap_dx.png,sub-S09465_ses-E25868_run-1_bp-chest_vp-ap_dx.png
13,covid_1016.png,sub-S09745_ses-E19438_run-1_bp-chest_vp-ap_dx.png,sub-S09678_ses-E16587_run-1_bp-chest_vp-ap_dx.png
14,covid_1018.png,sub-S09989_ses-E18086_run-1_bp-chest_vp-ap_dx.png,sub-S09356_ses-E21463_run-1_bp-chest_vp-ap_dx.png
15,covid_1020.png,sub-S09317_ses-E19170_run-1_bp-chest_vp-ap_cr.png,sub-S09698_ses-E16616_run-1_bp-chest_vp-pa_dx.png
16,covid_1023.png,sub-S09810_ses-E17475_acq-1_run-1_bp-chest_vp-pa_dx.png,sub-S09520_ses-E24107_run-1_bp-chest_vp-pa_cr.png
17,covid_1024.png,sub-S09642_ses-E19110_run-1_bp-chest_vp-ap_dx.png,sub-S09762_ses-E16733_run-1_bp-chest_vp-pa_cr.png
18,covid_1025.png,sub-S09827_ses-E25861_run-1_bp-chest_vp-ap_dx.png,sub-S09689_ses-E19201_run-1_bp-chest_vp-ap_dx.png
19,covid_1026.png,sub-S10023_ses-E22543_run-1_bp-chest_vp-ap_dx.png,sub-S09371_ses-E21840_run-1_bp-chest_vp-ap_dx.png
20,covid_1028.png,sub-S09678_ses-E22133_run-1_bp-chest_vp-ap_dx.png,sub-S09366_ses-E21900_run-1_bp-chest_vp-ap_cr.png
21,covid_1030.png,sub-S09683_ses-E20797_run-1_bp-chest_vp-ap_cr.png,sub-S09673_ses-E16581_run-1_bp-chest_vp-ap_dx.png
22,covid_1032.png,sub-S09366_ses-E17172_run-1_bp-chest_vp-ap_cr.png,sub-S09885_ses-E23841_run-2_bp-chest_vp-pa_dx.png
23,covid_1033.png,sub-S09689_ses-E23273_run-1_bp-chest_vp-ap_dx.png,sub-S09520_ses-E18447_run-1_bp-chest_vp-ap_dx.png
24,covid_1035.png,sub-S09346_ses-E20846_run-1_bp-chest_vp-ap_cr.png,sub-S09484_ses-E21303_run-1_bp-chest_vp-pa_cr.png
25,covid_1036.png,sub-S09571_ses-E16890_run-1_bp-chest_vp-ap_dx.png,sub-S09662_ses-E23871_run-1_bp-chest_vp-ap_cr.png
26,covid_1037.png,sub-S09689_ses-E19645_acq-1_run-1_bp-chest_vp-ap_dx.png,sub-S09366_ses-E19984_run-1_bp-chest_vp-ap_cr.png
27,covid_1039.png,sub-S09871_ses-E24085_run-1_bp-chest_cr.png,sub-S09778_ses-E17641_run-1_bp-chest_vp-ap_dx.png
28,covid_104.png,sub-S09788_ses-E24791_run-1_bp-chest_vp-ap_dx.png,sub-S08097_ses-E17492_run-1_bp-chest_vp-ap_dx.png
29,covid_1040.png,sub-S09790_ses-E18586_acq-2_run-1_bp-chest_vp-ap_dx.png,sub-S09517_ses-E18424_run-1_bp-chest_vp-ap_dx.png
30,covid_1041.png,sub-S09683_ses-E25533_run-1_bp-chest_vp-ap_cr.png,sub-S09340_ses-E21921_run-1_bp-chest_vp-ap_cr.png
31,covid_1043.png,sub-S09492_ses-E19961_run-1_bp-chest_vp-ap_dx.png,sub-S09356_ses-E17160_run-1_bp-chest_vp-ap_dx.png
32,covid_1044.png,sub-S09376_ses-E16481_run-1_bp-chest_vp-ap_dx.png,sub-S09678_ses-E20363_run-1_bp-chest_vp-ap_cr.png
33,covid_1045.png,sub-S09352_ses-E16757_run-1_bp-chest_vp-ap_dx.png,sub-S09723_ses-E25934_run-1_bp-chest_vp-ap_dx.png
34,covid_1046.png,sub-S09712_ses-E26390_run-1_bp-chest_vp-ap_dx.png,sub-S09517_ses-E20646_run-1_bp-chest_vp-ap_dx.png
35,covid_1047.png,sub-S09426_ses-E24799_run-2_bp-chest_vp-ap_dx.png,sub-S09353_ses-E22089_run-1_bp-chest_vp-ap_dx.png
36,covid_1049.png,sub-S09512_ses-E21506_run-1_bp-chest_vp-pa_dx.png,sub-S09502_ses-E21334_run-1_bp-chest_vp-ap_dx.png
37,covid_1051.png,sub-S09382_ses-E17280_run-1_bp-chest_vp-ap_cr.png,sub-S09338_ses-E20659_run-1_bp-chest_vp-ap_cr.png
38,covid_1052.png,sub-S09403_ses-E18508_run-1_bp-chest_vp-ap_dx.png,sub-S09365_ses-E17903_run-1_bp-chest_vp-ap_dx.png
39,covid_1053.png,sub-S09939_ses-E26785_run-1_bp-chest_vp-ap_dx.png,sub-S09776_ses-E19765_run-1_bp-chest_vp-pa_cr.png
